fiscal_year,complaint_inspections,avg_high_priority,no_high_priority,three_or_more
2021-22,10874,1.333302642482276,42.98326282876586,19.376494390288762
2022-23,12161,1.249217849497777,45.070306718197514,17.490337965627827
2023-24,12687,1.2167981072555205,48.22259005280996,17.182943170174195
2024-25,13368,1.1412425149700598,50.0,15.9934171154997
2025-26,14268,1.1054476617822337,51.35267731987665,15.608354359405663
